Date,Games,Spread,ML,Total
02/12/2024,Charlotte Hornets,-9.5,+345,O238.0
06:10PM,Indiana Pacers,9.5,-455,U238.0

02/12/2024,Cleveland Cavaliers,-10.0,-550,O230.5
06:10PM,Philadelphia 76ers,10.0,+400,U230.5

02/12/2024,Atlanta Hawks,-4.0,-170,O238.0
06:40PM,Chicago Bulls,4.0,+143,U238.0

02/12/2024,Toronto Raptors,-6.0,-225,O236.5
06:40PM,San Antonio Spurs,6.0,+185,U236.5

02/12/2024,Memphis Grizzlies,-9.5,+310,O222.0
07:10PM,New Orleans Pelicans,9.5,-400,U222.0

02/12/2024,Milwaukee Bucks,0.0,-105,O231.0
07:10PM,Denver Nuggets,-0.0,-115,U231.0

02/12/2024,Houston Rockets,-2.5,+126,O222.0
07:10PM,New York Knicks,2.5,-150,U222.0

02/12/2024,Dallas Mavericks,-12.5,-900,O247.5
07:40PM,Washington Wizards,12.5,+600,U247.5

02/12/2024,Utah Jazz,0.0,-110,O240.0
08:10PM,Golden State Warriors,-0.0,-110,U240.0

02/12/2024,Los Angeles Clippers,-4.5,-190,O224.0
09:40PM,Minnesota Timberwolves,4.5,+158,U224.0

